Similar to ViTm_ImplicitAttn3_Blockin performance and a bit slower. 

----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:0.13%, time:0 m:28 s, avg loss: 12.43, avg acc:0.0000%, last loss: 12.45
Train completion:0.26%, time:0 m:58 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.35
Train completion:0.40%, time:1 m:27 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.44
Train completion:0.53%, time:1 m:54 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.35
Train completion:0.66%, time:2 m:22 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.42
Train completion:0.79%, time:2 m:50 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.35
Train completion:0.92%, time:3 m:19 s, avg loss: 12.39, avg acc:0.0000%, last loss: 12.36
Train completion:1.06%, time:3 m:46 s, avg loss: 12.38, avg acc:0.0000%, last loss: 12.06
Train completion:1.19%, time:4 m:14 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.31
Train completion:1.32%, time:4 m:43 s, avg loss: 12.36, avg acc:0.0000%, last loss: 12.55
Train completion:1.45%, time:5 m:14 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.07
Train completion:1.58%, time:5 m:48 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.25
Train completion:1.72%, time:6 m:18 s, avg loss: 12.34, avg acc:0.0000%, last loss: 12.27
Train completion:1.85%, time:6 m:53 s, avg loss: 12.33, avg acc:0.0000%, last loss: 12.14
Train completion:1.98%, time:7 m:22 s, avg loss: 12.32, avg acc:0.0000%, last loss: 12.04
Train completion:2.11%, time:7 m:55 s, avg loss: 12.32, avg acc:0.0000%, last loss: 12.21
Train completion:2.24%, time:8 m:28 s, avg loss: 12.31, avg acc:0.0000%, last loss: 12.07
Train completion:2.38%, time:8 m:59 s, avg loss: 12.31, avg acc:0.0000%, last loss: 12.29
Train completion:2.51%, time:9 m:29 s, avg loss: 12.30, avg acc:0.0000%, last loss: 12.30
Train completion:2.64%, time:9 m:58 s, avg loss: 12.29, avg acc:0.0000%, last loss: 12.34
Train completion:2.77%, time:10 m:28 s, avg loss: 12.28, avg acc:0.0000%, last loss: 12.17
Train completion:2.90%, time:11 m:1 s, avg loss: 12.27, avg acc:0.0000%, last loss: 12.24
Train completion:3.04%, time:11 m:35 s, avg loss: 12.27, avg acc:0.0000%, last loss: 11.88
Train completion:3.17%, time:12 m:9 s, avg loss: 12.26, avg acc:0.0000%, last loss: 11.94
Train completion:3.30%, time:12 m:41 s, avg loss: 12.25, avg acc:0.0000%, last loss: 12.21
Train completion:3.43%, time:13 m:14 s, avg loss: 12.24, avg acc:0.0000%, last loss: 11.80
Train completion:3.56%, time:13 m:48 s, avg loss: 12.23, avg acc:0.0000%, last loss: 11.58
Train completion:3.70%, time:14 m:21 s, avg loss: 12.22, avg acc:0.0000%, last loss: 12.10
Train completion:3.83%, time:14 m:55 s, avg loss: 12.22, avg acc:0.0000%, last loss: 11.70
Train completion:3.96%, time:15 m:33 s, avg loss: 12.21, avg acc:0.0000%, last loss: 11.91
Train completion:4.09%, time:16 m:11 s, avg loss: 12.21, avg acc:0.0000%, last loss: 12.07
Train completion:4.22%, time:16 m:52 s, avg loss: 12.20, avg acc:0.0000%, last loss: 12.35
Train completion:4.36%, time:17 m:32 s, avg loss: 12.19, avg acc:0.0000%, last loss: 12.16
Train completion:4.49%, time:18 m:10 s, avg loss: 12.19, avg acc:0.0000%, last loss: 12.27
Train completion:4.62%, time:18 m:50 s, avg loss: 12.18, avg acc:0.0000%, last loss: 11.76
Train completion:4.75%, time:19 m:30 s, avg loss: 12.18, avg acc:0.0000%, last loss: 12.01
Train completion:4.88%, time:20 m:11 s, avg loss: 12.17, avg acc:0.0000%, last loss: 11.54
Train completion:5.02%, time:20 m:52 s, avg loss: 12.16, avg acc:0.0000%, last loss: 11.66
