Same in performance to ViTm_ImplicitAttn3_Block, and just a bit slower. 

----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:0.13%, time:0 m:28 s, avg loss: 12.47, avg acc:0.0000%, last loss: 12.43
Train completion:0.26%, time:0 m:58 s, avg loss: 12.44, avg acc:0.0000%, last loss: 12.36
Train completion:0.40%, time:1 m:29 s, avg loss: 12.44, avg acc:0.0000%, last loss: 12.38
Train completion:0.53%, time:2 m:0 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.17
Train completion:0.66%, time:2 m:30 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.40
Train completion:0.79%, time:3 m:28 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.45
Train completion:0.92%, time:4 m:29 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.45
Train completion:1.06%, time:5 m:22 s, avg loss: 12.38, avg acc:0.0000%, last loss: 12.15
Train completion:1.19%, time:6 m:18 s, avg loss: 12.38, avg acc:0.0000%, last loss: 12.46
Train completion:1.32%, time:7 m:20 s, avg loss: 12.37, avg acc:0.9688%, last loss: 12.31
Train completion:1.45%, time:8 m:36 s, avg loss: 12.36, avg acc:0.8807%, last loss: 12.51
Train completion:1.58%, time:9 m:59 s, avg loss: 12.35, avg acc:0.8073%, last loss: 12.41
Train completion:1.72%, time:11 m:28 s, avg loss: 12.34, avg acc:0.7452%, last loss: 12.10
Train completion:1.85%, time:12 m:47 s, avg loss: 12.33, avg acc:0.6920%, last loss: 12.11
Train completion:1.98%, time:14 m:4 s, avg loss: 12.33, avg acc:0.6458%, last loss: 12.37
Train completion:2.11%, time:15 m:16 s, avg loss: 12.32, avg acc:0.6055%, last loss: 11.89
Train completion:2.24%, time:16 m:6 s, avg loss: 12.30, avg acc:0.5699%, last loss: 11.94
Train completion:2.38%, time:16 m:52 s, avg loss: 12.30, avg acc:0.5382%, last loss: 12.07
Train completion:2.51%, time:17 m:40 s, avg loss: 12.29, avg acc:0.5099%, last loss: 12.13
Train completion:2.64%, time:18 m:27 s, avg loss: 12.28, avg acc:0.4844%, last loss: 12.33
Train completion:2.77%, time:19 m:13 s, avg loss: 12.28, avg acc:0.4613%, last loss: 11.91
Train completion:2.90%, time:20 m:0 s, avg loss: 12.27, avg acc:0.4403%, last loss: 12.23
Train completion:3.04%, time:20 m:43 s, avg loss: 12.26, avg acc:0.4212%, last loss: 12.19
Train completion:3.17%, time:21 m:26 s, avg loss: 12.25, avg acc:0.4036%, last loss: 12.07
Train completion:3.30%, time:22 m:15 s, avg loss: 12.25, avg acc:0.3875%, last loss: 11.76
Train completion:3.43%, time:22 m:53 s, avg loss: 12.24, avg acc:0.3726%, last loss: 12.22
Train completion:3.56%, time:23 m:29 s, avg loss: 12.23, avg acc:0.3588%, last loss: 12.36
Train completion:3.70%, time:24 m:8 s, avg loss: 12.22, avg acc:0.3460%, last loss: 12.22
Train completion:3.83%, time:24 m:46 s, avg loss: 12.22, avg acc:0.3341%, last loss: 11.57
Train completion:3.96%, time:25 m:22 s, avg loss: 12.20, avg acc:0.3229%, last loss: 11.58
Train completion:4.09%, time:25 m:58 s, avg loss: 12.20, avg acc:0.3125%, last loss: 11.86
Train completion:4.22%, time:26 m:33 s, avg loss: 12.20, avg acc:0.3027%, last loss: 11.80
Train completion:4.36%, time:27 m:8 s, avg loss: 12.19, avg acc:0.2936%, last loss: 12.04
Train completion:4.49%, time:27 m:44 s, avg loss: 12.19, avg acc:0.2849%, last loss: 12.11
Train completion:4.62%, time:28 m:23 s, avg loss: 12.18, avg acc:0.2768%, last loss: 11.86
Train completion:4.75%, time:29 m:4 s, avg loss: 12.18, avg acc:0.2691%, last loss: 12.36
Train completion:4.88%, time:29 m:46 s, avg loss: 12.17, avg acc:0.2618%, last loss: 12.17
Train completion:5.02%, time:30 m:27 s, avg loss: 12.17, avg acc:0.2549%, last loss: 12.01
Train completion:5.15%, time:31 m:9 s, avg loss: 12.17, avg acc:0.2484%, last loss: 12.44
Train completion:5.28%, time:31 m:52 s, avg loss: 12.16, avg acc:0.2422%, last loss: 11.60
Train completion:5.41%, time:32 m:32 s, avg loss: 12.15, avg acc:0.2363%, last loss: 12.00
Train completion:5.54%, time:33 m:5 s, avg loss: 12.15, avg acc:0.2307%, last loss: 11.79
Train completion:5.68%, time:33 m:41 s, avg loss: 12.14, avg acc:0.2253%, last loss: 11.50
Train completion:5.81%, time:34 m:14 s, avg loss: 12.14, avg acc:0.2202%, last loss: 11.78
Train completion:5.94%, time:34 m:47 s, avg loss: 12.13, avg acc:0.2153%, last loss: 11.97
Train completion:6.07%, time:35 m:22 s, avg loss: 12.13, avg acc:0.2106%, last loss: 12.02
Train completion:6.20%, time:35 m:54 s, avg loss: 12.12, avg acc:0.2061%, last loss: 11.64
Train completion:6.34%, time:36 m:25 s, avg loss: 12.11, avg acc:0.2018%, last loss: 11.97
Train completion:6.47%, time:36 m:57 s, avg loss: 12.11, avg acc:0.1977%, last loss: 11.60
Train completion:6.60%, time:37 m:29 s, avg loss: 12.10, avg acc:0.1938%, last loss: 12.08
Train completion:6.73%, time:38 m:1 s, avg loss: 12.10, avg acc:0.1900%, last loss: 12.64
Train completion:6.86%, time:38 m:39 s, avg loss: 12.09, avg acc:0.1863%, last loss: 11.70
Train completion:7.00%, time:39 m:14 s, avg loss: 12.09, avg acc:0.1828%, last loss: 11.71
Train completion:7.13%, time:39 m:49 s, avg loss: 12.08, avg acc:0.1794%, last loss: 12.10
Train completion:7.26%, time:40 m:23 s, avg loss: 12.07, avg acc:0.1761%, last loss: 11.65
Train completion:7.39%, time:41 m:0 s, avg loss: 12.07, avg acc:0.1730%, last loss: 11.98
Train completion:7.52%, time:41 m:40 s, avg loss: 12.06, avg acc:0.1700%, last loss: 11.56
Train completion:7.66%, time:42 m:21 s, avg loss: 12.06, avg acc:0.1670%, last loss: 11.81
Train completion:7.79%, time:42 m:59 s, avg loss: 12.05, avg acc:0.1642%, last loss: 11.48
Train completion:7.92%, time:43 m:37 s, avg loss: 12.04, avg acc:0.1615%, last loss: 11.28
Train completion:8.05%, time:44 m:14 s, avg loss: 12.04, avg acc:0.1588%, last loss: 11.60
Train completion:8.18%, time:44 m:54 s, avg loss: 12.03, avg acc:0.1562%, last loss: 11.93
Train completion:8.32%, time:45 m:32 s, avg loss: 12.02, avg acc:0.1538%, last loss: 11.68
Train completion:8.45%, time:46 m:10 s, avg loss: 12.02, avg acc:0.1514%, last loss: 11.66
Train completion:8.58%, time:46 m:47 s, avg loss: 12.01, avg acc:0.1490%, last loss: 11.75
Train completion:8.71%, time:47 m:23 s, avg loss: 12.01, avg acc:0.1468%, last loss: 11.60
Train completion:8.84%, time:47 m:59 s, avg loss: 12.00, avg acc:0.1446%, last loss: 11.81
Train completion:8.98%, time:48 m:39 s, avg loss: 12.00, avg acc:0.1425%, last loss: 11.48
Train completion:9.11%, time:49 m:16 s, avg loss: 11.99, avg acc:0.1404%, last loss: 11.36
Train completion:9.24%, time:49 m:53 s, avg loss: 11.98, avg acc:0.1384%, last loss: 11.58
Train completion:9.37%, time:50 m:25 s, avg loss: 11.98, avg acc:0.1364%, last loss: 11.40
Train completion:9.50%, time:50 m:58 s, avg loss: 11.97, avg acc:0.1345%, last loss: 11.22
Train completion:9.64%, time:51 m:29 s, avg loss: 11.97, avg acc:0.1327%, last loss: 11.94
Train completion:9.77%, time:52 m:0 s, avg loss: 11.96, avg acc:0.1309%, last loss: 11.21
Train completion:9.90%, time:52 m:32 s, avg loss: 11.96, avg acc:0.1292%, last loss: 11.02
Train completion:10.03%, time:53 m:5 s, avg loss: 11.95, avg acc:0.1275%, last loss: 11.43
Train completion:10.16%, time:53 m:38 s, avg loss: 11.95, avg acc:0.1258%, last loss: 11.72
Train completion:10.30%, time:54 m:10 s, avg loss: 11.94, avg acc:0.1242%, last loss: 11.75
Train completion:10.43%, time:54 m:44 s, avg loss: 11.93, avg acc:0.1226%, last loss: 11.73
Train completion:10.56%, time:55 m:16 s, avg loss: 11.93, avg acc:0.1211%, last loss: 11.36
Train completion:10.69%, time:55 m:48 s, avg loss: 11.92, avg acc:0.1196%, last loss: 11.34
Train completion:10.82%, time:56 m:20 s, avg loss: 11.92, avg acc:0.1181%, last loss: 11.38
Train completion:10.96%, time:56 m:50 s, avg loss: 11.91, avg acc:0.1167%, last loss: 11.41
Train completion:11.09%, time:57 m:20 s, avg loss: 11.91, avg acc:0.1153%, last loss: 11.26
Train completion:11.22%, time:57 m:50 s, avg loss: 11.90, avg acc:0.1140%, last loss: 11.45
Train completion:11.35%, time:58 m:22 s, avg loss: 11.90, avg acc:0.1126%, last loss: 11.81
Train completion:11.48%, time:58 m:53 s, avg loss: 11.89, avg acc:0.1114%, last loss: 11.53
Train completion:11.62%, time:59 m:25 s, avg loss: 11.88, avg acc:0.1101%, last loss: 11.38
Train completion:11.75%, time:59 m:56 s, avg loss: 11.88, avg acc:0.1088%, last loss: 11.69
Train completion:11.88%, time:60 m:26 s, avg loss: 11.87, avg acc:0.1076%, last loss: 11.16
Train completion:12.01%, time:60 m:57 s, avg loss: 11.87, avg acc:0.1065%, last loss: 11.06
Train completion:12.14%, time:61 m:27 s, avg loss: 11.86, avg acc:0.1053%, last loss: 11.36
Train completion:12.28%, time:61 m:58 s, avg loss: 11.85, avg acc:0.1042%, last loss: 11.04
Train completion:12.41%, time:62 m:28 s, avg loss: 11.85, avg acc:0.1031%, last loss: 12.03
Train completion:12.54%, time:62 m:57 s, avg loss: 11.84, avg acc:0.1020%, last loss: 11.26
Train completion:12.67%, time:63 m:28 s, avg loss: 11.84, avg acc:0.1009%, last loss: 12.15
Train completion:12.80%, time:64 m:0 s, avg loss: 11.83, avg acc:0.0999%, last loss: 11.67
Train completion:12.94%, time:64 m:30 s, avg loss: 11.82, avg acc:0.0989%, last loss: 11.67
Train completion:13.07%, time:65 m:3 s, avg loss: 11.82, avg acc:0.0979%, last loss: 11.54
Train completion:13.20%, time:65 m:36 s, avg loss: 11.81, avg acc:0.0969%, last loss: 11.02
Train completion:13.33%, time:66 m:6 s, avg loss: 11.81, avg acc:0.0959%, last loss: 11.57
Train completion:13.46%, time:66 m:41 s, avg loss: 11.80, avg acc:0.0950%, last loss: 11.23
Train completion:13.60%, time:67 m:14 s, avg loss: 11.80, avg acc:0.0941%, last loss: 10.98
Train completion:13.73%, time:67 m:45 s, avg loss: 11.79, avg acc:0.0931%, last loss: 11.53
Train completion:13.86%, time:68 m:15 s, avg loss: 11.79, avg acc:0.0923%, last loss: 10.70
Train completion:13.99%, time:68 m:48 s, avg loss: 11.78, avg acc:0.0914%, last loss: 11.09
Train completion:14.12%, time:69 m:22 s, avg loss: 11.78, avg acc:0.0905%, last loss: 11.20
Train completion:14.26%, time:69 m:56 s, avg loss: 11.77, avg acc:0.0897%, last loss: 11.06
Train completion:14.39%, time:70 m:31 s, avg loss: 11.77, avg acc:0.0889%, last loss: 10.72
Train completion:14.52%, time:71 m:6 s, avg loss: 11.76, avg acc:0.0881%, last loss: 11.21
Train completion:14.65%, time:71 m:43 s, avg loss: 11.76, avg acc:0.0873%, last loss: 11.40
Train completion:14.78%, time:72 m:21 s, avg loss: 11.75, avg acc:0.0865%, last loss: 10.86
Train completion:14.92%, time:72 m:56 s, avg loss: 11.75, avg acc:0.0857%, last loss: 11.35
Train completion:15.05%, time:73 m:31 s, avg loss: 11.74, avg acc:0.0850%, last loss: 11.06
Train completion:15.18%, time:74 m:7 s, avg loss: 11.74, avg acc:0.0842%, last loss: 11.30
Train completion:15.31%, time:74 m:41 s, avg loss: 11.73, avg acc:0.0835%, last loss: 11.25
Train completion:15.44%, time:75 m:13 s, avg loss: 11.73, avg acc:0.0828%, last loss: 11.12
Train completion:15.58%, time:75 m:48 s, avg loss: 11.72, avg acc:0.0821%, last loss: 11.29
Train completion:15.71%, time:76 m:23 s, avg loss: 11.72, avg acc:0.0814%, last loss: 11.15
Train completion:15.84%, time:76 m:57 s, avg loss: 11.71, avg acc:0.0807%, last loss: 11.08
Train completion:15.97%, time:77 m:32 s, avg loss: 11.71, avg acc:0.0801%, last loss: 11.29
Train completion:16.10%, time:78 m:7 s, avg loss: 11.70, avg acc:0.0794%, last loss: 11.12
Train completion:16.24%, time:78 m:45 s, avg loss: 11.70, avg acc:0.0788%, last loss: 10.78
Train completion:16.37%, time:79 m:21 s, avg loss: 11.69, avg acc:0.0781%, last loss: 10.73
Train completion:16.50%, time:79 m:58 s, avg loss: 11.69, avg acc:0.0775%, last loss: 11.22
Train completion:16.63%, time:80 m:36 s, avg loss: 11.68, avg acc:0.0769%, last loss: 11.02
Train completion:16.76%, time:81 m:12 s, avg loss: 11.68, avg acc:0.0763%, last loss: 11.74
Train completion:16.90%, time:81 m:48 s, avg loss: 11.67, avg acc:0.0757%, last loss: 10.83
Train completion:17.03%, time:82 m:29 s, avg loss: 11.67, avg acc:0.0751%, last loss: 11.24
Train completion:17.16%, time:83 m:6 s, avg loss: 11.66, avg acc:0.0745%, last loss: 11.54
Train completion:17.29%, time:83 m:42 s, avg loss: 11.66, avg acc:0.0740%, last loss: 11.14
Train completion:17.42%, time:84 m:17 s, avg loss: 11.65, avg acc:0.0734%, last loss: 10.90
Train completion:17.56%, time:84 m:51 s, avg loss: 11.65, avg acc:0.0728%, last loss: 11.15
Train completion:17.69%, time:85 m:26 s, avg loss: 11.65, avg acc:0.0723%, last loss: 10.74
Train completion:17.82%, time:86 m:2 s, avg loss: 11.64, avg acc:0.0718%, last loss: 10.92
Train completion:17.95%, time:86 m:37 s, avg loss: 11.64, avg acc:0.0712%, last loss: 11.17
Train completion:18.08%, time:87 m:10 s, avg loss: 11.63, avg acc:0.0707%, last loss: 11.00
Train completion:18.22%, time:87 m:46 s, avg loss: 11.63, avg acc:0.0702%, last loss: 11.06
Train completion:18.35%, time:88 m:18 s, avg loss: 11.62, avg acc:0.0697%, last loss: 11.11
Train completion:18.48%, time:88 m:53 s, avg loss: 11.62, avg acc:0.0692%, last loss: 10.93
Train completion:18.61%, time:89 m:26 s, avg loss: 11.61, avg acc:0.0687%, last loss: 10.60
Train completion:18.74%, time:90 m:1 s, avg loss: 11.61, avg acc:0.0682%, last loss: 10.86
Train completion:18.88%, time:90 m:34 s, avg loss: 11.61, avg acc:0.0677%, last loss: 10.45
