Same as ViTm_ImplicitAttn3_Block, but much slower.

----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:0.13%, time:0 m:58 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.43
Train completion:0.26%, time:2 m:4 s, avg loss: 12.43, avg acc:0.0000%, last loss: 12.50
Train completion:0.40%, time:3 m:7 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.43
Train completion:0.53%, time:4 m:6 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.41
Train completion:0.66%, time:5 m:15 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.48
Train completion:0.79%, time:6 m:25 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.43
Train completion:0.92%, time:7 m:34 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.22
Train completion:1.06%, time:8 m:41 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.50
Train completion:1.19%, time:9 m:47 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.42
Train completion:1.32%, time:10 m:46 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.23
Train completion:1.45%, time:11 m:43 s, avg loss: 12.39, avg acc:0.0000%, last loss: 12.40
Train completion:1.58%, time:12 m:38 s, avg loss: 12.38, avg acc:0.0000%, last loss: 12.21
Train completion:1.72%, time:13 m:34 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.14
Train completion:1.85%, time:14 m:30 s, avg loss: 12.36, avg acc:0.0000%, last loss: 12.31
Train completion:1.98%, time:15 m:26 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.33
Train completion:2.11%, time:16 m:22 s, avg loss: 12.34, avg acc:0.0000%, last loss: 12.09
Train completion:2.24%, time:17 m:17 s, avg loss: 12.34, avg acc:0.0000%, last loss: 12.53
Train completion:2.38%, time:18 m:12 s, avg loss: 12.33, avg acc:0.0000%, last loss: 12.30
Train completion:2.51%, time:19 m:7 s, avg loss: 12.33, avg acc:0.0000%, last loss: 12.28
Train completion:2.64%, time:20 m:3 s, avg loss: 12.32, avg acc:0.0000%, last loss: 12.11
Train completion:2.77%, time:20 m:58 s, avg loss: 12.32, avg acc:0.0000%, last loss: 12.09
Train completion:2.90%, time:21 m:51 s, avg loss: 12.31, avg acc:0.0000%, last loss: 12.17
Train completion:3.04%, time:22 m:44 s, avg loss: 12.30, avg acc:0.0000%, last loss: 11.98
Train completion:3.17%, time:23 m:37 s, avg loss: 12.30, avg acc:0.0000%, last loss: 12.37
Train completion:3.30%, time:24 m:32 s, avg loss: 12.29, avg acc:0.0000%, last loss: 11.79
Train completion:3.43%, time:25 m:26 s, avg loss: 12.28, avg acc:0.0000%, last loss: 12.02
Train completion:3.56%, time:26 m:21 s, avg loss: 12.27, avg acc:0.0000%, last loss: 12.31
Train completion:3.70%, time:27 m:15 s, avg loss: 12.26, avg acc:0.0000%, last loss: 12.38
Train completion:3.83%, time:28 m:10 s, avg loss: 12.25, avg acc:0.0000%, last loss: 11.88
Train completion:3.96%, time:29 m:6 s, avg loss: 12.25, avg acc:0.0000%, last loss: 11.76
Train completion:4.09%, time:30 m:0 s, avg loss: 12.24, avg acc:0.0000%, last loss: 12.10
Train completion:4.22%, time:30 m:54 s, avg loss: 12.23, avg acc:0.0000%, last loss: 11.68
Train completion:4.36%, time:31 m:46 s, avg loss: 12.22, avg acc:0.0000%, last loss: 11.95
Train completion:4.49%, time:32 m:40 s, avg loss: 12.21, avg acc:0.0000%, last loss: 11.91
Train completion:4.62%, time:33 m:33 s, avg loss: 12.21, avg acc:0.0000%, last loss: 11.75
Train completion:4.75%, time:34 m:26 s, avg loss: 12.20, avg acc:0.0000%, last loss: 11.90
Train completion:4.88%, time:35 m:19 s, avg loss: 12.19, avg acc:0.0000%, last loss: 12.37
Train completion:5.02%, time:36 m:13 s, avg loss: 12.19, avg acc:0.0000%, last loss: 12.04
Train completion:5.15%, time:37 m:8 s, avg loss: 12.18, avg acc:0.0000%, last loss: 11.90
Train completion:5.28%, time:37 m:59 s, avg loss: 12.17, avg acc:0.0000%, last loss: 12.05
Train completion:5.41%, time:38 m:51 s, avg loss: 12.17, avg acc:0.0000%, last loss: 11.55
Train completion:5.54%, time:39 m:44 s, avg loss: 12.16, avg acc:0.0000%, last loss: 12.01
Train completion:5.68%, time:40 m:35 s, avg loss: 12.15, avg acc:0.0000%, last loss: 11.89
Train completion:5.81%, time:41 m:27 s, avg loss: 12.15, avg acc:0.0000%, last loss: 11.91
Train completion:5.94%, time:42 m:20 s, avg loss: 12.14, avg acc:0.0000%, last loss: 12.17
Train completion:6.07%, time:43 m:11 s, avg loss: 12.14, avg acc:0.0000%, last loss: 12.26
Train completion:6.20%, time:44 m:4 s, avg loss: 12.13, avg acc:0.0000%, last loss: 12.04
Train completion:6.34%, time:44 m:57 s, avg loss: 12.13, avg acc:0.0000%, last loss: 11.79
Train completion:6.47%, time:45 m:49 s, avg loss: 12.12, avg acc:0.0000%, last loss: 11.49
Train completion:6.60%, time:46 m:41 s, avg loss: 12.11, avg acc:0.0000%, last loss: 12.30
Train completion:6.73%, time:47 m:33 s, avg loss: 12.10, avg acc:0.0000%, last loss: 11.21
Train completion:6.86%, time:48 m:27 s, avg loss: 12.10, avg acc:0.0000%, last loss: 11.77
Train completion:7.00%, time:49 m:20 s, avg loss: 12.09, avg acc:0.0000%, last loss: 11.54
Train completion:7.13%, time:50 m:12 s, avg loss: 12.09, avg acc:0.0000%, last loss: 11.92
Train completion:7.26%, time:51 m:7 s, avg loss: 12.08, avg acc:0.0000%, last loss: 11.77
Train completion:7.39%, time:52 m:0 s, avg loss: 12.07, avg acc:0.0000%, last loss: 11.57
Train completion:7.52%, time:52 m:54 s, avg loss: 12.07, avg acc:0.0000%, last loss: 12.00
Train completion:7.66%, time:53 m:48 s, avg loss: 12.06, avg acc:0.0000%, last loss: 11.71
Train completion:7.79%, time:54 m:42 s, avg loss: 12.05, avg acc:0.0000%, last loss: 11.55
Train completion:7.92%, time:55 m:37 s, avg loss: 12.05, avg acc:0.0000%, last loss: 11.33
Train completion:8.05%, time:56 m:30 s, avg loss: 12.04, avg acc:0.0000%, last loss: 11.88
Train completion:8.18%, time:57 m:23 s, avg loss: 12.03, avg acc:0.0000%, last loss: 11.34
Train completion:8.32%, time:58 m:17 s, avg loss: 12.03, avg acc:0.0000%, last loss: 11.65
Train completion:8.45%, time:59 m:11 s, avg loss: 12.02, avg acc:0.0000%, last loss: 11.29
Train completion:8.58%, time:60 m:5 s, avg loss: 12.01, avg acc:0.1538%, last loss: 11.47
Train completion:8.71%, time:60 m:59 s, avg loss: 12.00, avg acc:0.1515%, last loss: 11.91
Train completion:8.84%, time:61 m:52 s, avg loss: 12.00, avg acc:0.1493%, last loss: 11.79
Train completion:8.98%, time:62 m:45 s, avg loss: 11.99, avg acc:0.1471%, last loss: 11.50
Train completion:9.11%, time:63 m:38 s, avg loss: 11.99, avg acc:0.1449%, last loss: 11.36
Train completion:9.24%, time:64 m:30 s, avg loss: 11.98, avg acc:0.1429%, last loss: 11.48
Train completion:9.37%, time:65 m:22 s, avg loss: 11.97, avg acc:0.1408%, last loss: 11.18
Train completion:9.50%, time:66 m:14 s, avg loss: 11.97, avg acc:0.1389%, last loss: 10.95
Train completion:9.64%, time:67 m:7 s, avg loss: 11.96, avg acc:0.1370%, last loss: 11.40
Train completion:9.77%, time:68 m:0 s, avg loss: 11.96, avg acc:0.1351%, last loss: 11.13
Train completion:9.90%, time:68 m:56 s, avg loss: 11.95, avg acc:0.1333%, last loss: 11.51
Train completion:10.03%, time:69 m:52 s, avg loss: 11.94, avg acc:0.1316%, last loss: 11.88
Train completion:10.16%, time:70 m:46 s, avg loss: 11.94, avg acc:0.1299%, last loss: 10.76
Train completion:10.30%, time:71 m:42 s, avg loss: 11.93, avg acc:0.1282%, last loss: 11.72
Train completion:10.43%, time:72 m:38 s, avg loss: 11.93, avg acc:0.1266%, last loss: 11.43
Train completion:10.56%, time:73 m:31 s, avg loss: 11.92, avg acc:0.1250%, last loss: 11.75
Train completion:10.69%, time:74 m:25 s, avg loss: 11.91, avg acc:0.1235%, last loss: 11.19
Train completion:10.82%, time:75 m:18 s, avg loss: 11.91, avg acc:0.1220%, last loss: 11.40
Train completion:10.96%, time:76 m:12 s, avg loss: 11.90, avg acc:0.1205%, last loss: 11.17
Train completion:11.09%, time:77 m:6 s, avg loss: 11.90, avg acc:0.1190%, last loss: 11.58
Train completion:11.22%, time:78 m:0 s, avg loss: 11.89, avg acc:0.1176%, last loss: 11.39
Train completion:11.35%, time:78 m:54 s, avg loss: 11.89, avg acc:0.1163%, last loss: 11.05
Train completion:11.48%, time:79 m:46 s, avg loss: 11.88, avg acc:0.1149%, last loss: 11.40
Train completion:11.62%, time:80 m:40 s, avg loss: 11.87, avg acc:0.1136%, last loss: 10.96
Train completion:11.75%, time:81 m:35 s, avg loss: 11.87, avg acc:0.1124%, last loss: 11.31
Train completion:11.88%, time:82 m:29 s, avg loss: 11.86, avg acc:0.1111%, last loss: 11.66
Train completion:12.01%, time:83 m:25 s, avg loss: 11.86, avg acc:0.1099%, last loss: 10.62
Train completion:12.14%, time:84 m:17 s, avg loss: 11.85, avg acc:0.1087%, last loss: 11.76
Train completion:12.28%, time:85 m:8 s, avg loss: 11.85, avg acc:0.1075%, last loss: 11.49
Train completion:12.41%, time:86 m:0 s, avg loss: 11.84, avg acc:0.1064%, last loss: 11.32
Train completion:12.54%, time:86 m:52 s, avg loss: 11.84, avg acc:0.1053%, last loss: 11.93
Train completion:12.67%, time:87 m:45 s, avg loss: 11.83, avg acc:0.1042%, last loss: 11.23
Train completion:12.80%, time:88 m:41 s, avg loss: 11.83, avg acc:0.1031%, last loss: 11.39
Train completion:12.94%, time:89 m:34 s, avg loss: 11.82, avg acc:0.1020%, last loss: 11.26
