Similar to ImplicitAttn3_Block but slower.

num_parallel=2

----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:0.13%, time:1 m:55 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.42
Train completion:0.26%, time:3 m:54 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.38
Train completion:0.40%, time:5 m:52 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.42
Train completion:0.53%, time:7 m:50 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.42
Train completion:0.66%, time:9 m:50 s, avg loss: 12.39, avg acc:0.0000%, last loss: 12.19
Train completion:0.79%, time:11 m:45 s, avg loss: 12.39, avg acc:0.0000%, last loss: 12.64
Train completion:0.92%, time:13 m:42 s, avg loss: 12.39, avg acc:0.0000%, last loss: 12.51
Train completion:1.06%, time:15 m:35 s, avg loss: 12.38, avg acc:0.0000%, last loss: 12.20
Train completion:1.19%, time:17 m:31 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.28
Train completion:1.32%, time:19 m:28 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.54
Train completion:1.45%, time:21 m:26 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.39
Train completion:1.58%, time:23 m:27 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.29
Train completion:1.72%, time:25 m:25 s, avg loss: 12.36, avg acc:0.0000%, last loss: 12.28
Train completion:1.85%, time:27 m:19 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.31
Train completion:1.98%, time:29 m:13 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.38
Train completion:2.11%, time:31 m:9 s, avg loss: 12.34, avg acc:0.0000%, last loss: 12.37
Train completion:2.24%, time:33 m:5 s, avg loss: 12.33, avg acc:0.0000%, last loss: 12.21
Train completion:2.38%, time:34 m:58 s, avg loss: 12.33, avg acc:0.0000%, last loss: 12.05
Train completion:2.51%, time:36 m:52 s, avg loss: 12.32, avg acc:0.0000%, last loss: 12.40
