----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:0.13%, time:0 m:8 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.41
Train completion:0.26%, time:0 m:16 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.42
Train completion:0.40%, time:0 m:23 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.40
Train completion:0.53%, time:0 m:31 s, avg loss: 12.39, avg acc:0.0000%, last loss: 12.23
Train completion:0.66%, time:0 m:39 s, avg loss: 12.38, avg acc:0.0000%, last loss: 12.42
Train completion:0.79%, time:0 m:47 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.28
Train completion:0.92%, time:0 m:54 s, avg loss: 12.36, avg acc:0.0000%, last loss: 12.45
Train completion:1.06%, time:1 m:2 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.28
Train completion:1.19%, time:1 m:10 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.44
Train completion:1.32%, time:1 m:18 s, avg loss: 12.36, avg acc:0.0000%, last loss: 12.21
Train completion:1.45%, time:1 m:26 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.29
Train completion:1.58%, time:1 m:34 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.38
Train completion:1.72%, time:1 m:43 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.40
Train completion:1.85%, time:1 m:51 s, avg loss: 12.34, avg acc:0.0000%, last loss: 12.11
Train completion:1.98%, time:1 m:59 s, avg loss: 12.34, avg acc:0.0000%, last loss: 12.43
Train completion:2.11%, time:2 m:7 s, avg loss: 12.34, avg acc:0.0000%, last loss: 12.46
Train completion:2.24%, time:2 m:15 s, avg loss: 12.33, avg acc:0.0000%, last loss: 12.18
Train completion:2.38%, time:2 m:24 s, avg loss: 12.33, avg acc:0.0000%, last loss: 12.14
Train completion:2.51%, time:2 m:32 s, avg loss: 12.32, avg acc:0.0000%, last loss: 12.38
Train completion:2.64%, time:2 m:40 s, avg loss: 12.32, avg acc:0.0000%, last loss: 12.12
Train completion:2.77%, time:2 m:48 s, avg loss: 12.31, avg acc:0.0000%, last loss: 12.16
Train completion:2.90%, time:2 m:56 s, avg loss: 12.31, avg acc:0.0000%, last loss: 12.27
Train completion:3.04%, time:3 m:4 s, avg loss: 12.30, avg acc:0.0000%, last loss: 11.92
Train completion:3.17%, time:3 m:12 s, avg loss: 12.29, avg acc:0.0000%, last loss: 12.49
Train completion:3.30%, time:3 m:20 s, avg loss: 12.28, avg acc:0.0000%, last loss: 12.15
Train completion:3.43%, time:3 m:28 s, avg loss: 12.28, avg acc:0.0000%, last loss: 12.17
Train completion:3.56%, time:3 m:36 s, avg loss: 12.26, avg acc:0.0000%, last loss: 12.06
Train completion:3.70%, time:3 m:44 s, avg loss: 12.26, avg acc:0.0000%, last loss: 11.92
Train completion:3.83%, time:3 m:53 s, avg loss: 12.25, avg acc:0.0000%, last loss: 11.74
Train completion:3.96%, time:4 m:1 s, avg loss: 12.24, avg acc:0.0000%, last loss: 12.00
Train completion:4.09%, time:4 m:9 s, avg loss: 12.23, avg acc:0.0000%, last loss: 11.96
Train completion:4.22%, time:4 m:17 s, avg loss: 12.22, avg acc:0.0000%, last loss: 12.08
Train completion:4.36%, time:4 m:25 s, avg loss: 12.22, avg acc:0.0000%, last loss: 12.41
Train completion:4.49%, time:4 m:33 s, avg loss: 12.21, avg acc:0.0000%, last loss: 12.13
Train completion:4.62%, time:4 m:41 s, avg loss: 12.21, avg acc:0.0000%, last loss: 12.10
Train completion:4.75%, time:4 m:49 s, avg loss: 12.20, avg acc:0.0000%, last loss: 11.60
Train completion:4.88%, time:4 m:57 s, avg loss: 12.20, avg acc:0.0000%, last loss: 11.78
Train completion:5.02%, time:5 m:6 s, avg loss: 12.19, avg acc:0.0000%, last loss: 12.00
Train completion:5.15%, time:5 m:14 s, avg loss: 12.18, avg acc:0.0000%, last loss: 12.24
Train completion:5.28%, time:5 m:22 s, avg loss: 12.18, avg acc:0.0000%, last loss: 11.95
Train completion:5.41%, time:5 m:30 s, avg loss: 12.17, avg acc:0.0000%, last loss: 11.66
Train completion:5.54%, time:5 m:38 s, avg loss: 12.16, avg acc:0.0000%, last loss: 12.08
Train completion:5.68%, time:5 m:46 s, avg loss: 12.16, avg acc:0.0000%, last loss: 12.02
Train completion:5.81%, time:5 m:54 s, avg loss: 12.15, avg acc:0.0000%, last loss: 11.62
Train completion:5.94%, time:6 m:2 s, avg loss: 12.14, avg acc:0.0000%, last loss: 11.39
Train completion:6.07%, time:6 m:10 s, avg loss: 12.13, avg acc:0.0000%, last loss: 12.06
Train completion:6.20%, time:6 m:19 s, avg loss: 12.13, avg acc:0.0000%, last loss: 12.12
Train completion:6.34%, time:6 m:27 s, avg loss: 12.12, avg acc:0.0000%, last loss: 11.70
Train completion:6.47%, time:6 m:35 s, avg loss: 12.12, avg acc:0.2041%, last loss: 11.77
Train completion:6.60%, time:6 m:43 s, avg loss: 12.11, avg acc:0.2000%, last loss: 11.61
Train completion:6.73%, time:6 m:51 s, avg loss: 12.11, avg acc:0.1961%, last loss: 12.37
Train completion:6.86%, time:6 m:59 s, avg loss: 12.10, avg acc:0.1923%, last loss: 11.46
Train completion:7.00%, time:7 m:7 s, avg loss: 12.09, avg acc:0.1887%, last loss: 11.81
Train completion:7.13%, time:7 m:15 s, avg loss: 12.09, avg acc:0.1852%, last loss: 11.80
Train completion:7.26%, time:7 m:23 s, avg loss: 12.08, avg acc:0.1818%, last loss: 11.54
Train completion:7.39%, time:7 m:31 s, avg loss: 12.07, avg acc:0.1786%, last loss: 12.00
Train completion:7.52%, time:7 m:39 s, avg loss: 12.06, avg acc:0.1754%, last loss: 11.75
Train completion:7.66%, time:7 m:47 s, avg loss: 12.06, avg acc:0.1724%, last loss: 11.59
Train completion:7.79%, time:7 m:55 s, avg loss: 12.05, avg acc:0.1695%, last loss: 11.63
Train completion:7.92%, time:8 m:3 s, avg loss: 12.05, avg acc:0.1667%, last loss: 12.04
Train completion:8.05%, time:8 m:11 s, avg loss: 12.04, avg acc:0.1639%, last loss: 11.95
Train completion:8.18%, time:8 m:20 s, avg loss: 12.04, avg acc:0.1613%, last loss: 11.95
Train completion:8.32%, time:8 m:29 s, avg loss: 12.03, avg acc:0.1587%, last loss: 11.31
Train completion:8.45%, time:8 m:37 s, avg loss: 12.02, avg acc:0.1562%, last loss: 11.27
Train completion:8.58%, time:8 m:46 s, avg loss: 12.01, avg acc:0.1538%, last loss: 11.10
Train completion:8.71%, time:8 m:54 s, avg loss: 12.01, avg acc:0.1515%, last loss: 11.68
Train completion:8.84%, time:9 m:2 s, avg loss: 12.00, avg acc:0.1493%, last loss: 12.01
Train completion:8.98%, time:9 m:11 s, avg loss: 11.99, avg acc:0.1471%, last loss: 11.44
Train completion:9.11%, time:9 m:20 s, avg loss: 11.99, avg acc:0.1449%, last loss: 11.14
Train completion:9.24%, time:9 m:28 s, avg loss: 11.98, avg acc:0.1429%, last loss: 11.32
Train completion:9.37%, time:9 m:37 s, avg loss: 11.97, avg acc:0.1408%, last loss: 11.99
Train completion:9.50%, time:9 m:47 s, avg loss: 11.97, avg acc:0.1389%, last loss: 11.49
Train completion:9.64%, time:9 m:55 s, avg loss: 11.96, avg acc:0.1370%, last loss: 11.51
Train completion:9.77%, time:10 m:4 s, avg loss: 11.96, avg acc:0.1351%, last loss: 11.52
Train completion:9.90%, time:10 m:12 s, avg loss: 11.95, avg acc:0.1333%, last loss: 11.54
Train completion:10.03%, time:10 m:21 s, avg loss: 11.94, avg acc:0.1316%, last loss: 11.82
Train completion:10.16%, time:10 m:30 s, avg loss: 11.94, avg acc:0.1299%, last loss: 11.40
Train completion:10.30%, time:10 m:38 s, avg loss: 11.93, avg acc:0.1282%, last loss: 11.55
Train completion:10.43%, time:10 m:47 s, avg loss: 11.93, avg acc:0.1266%, last loss: 11.29
Train completion:10.56%, time:10 m:55 s, avg loss: 11.92, avg acc:0.1250%, last loss: 11.40
Train completion:10.69%, time:11 m:4 s, avg loss: 11.91, avg acc:0.1235%, last loss: 11.43
Train completion:10.82%, time:11 m:12 s, avg loss: 11.91, avg acc:0.1220%, last loss: 12.01
