A bit better than ViTm_ImplicitAttn5(sine)_Block and almost same speed.

----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:0.13%, time:0 m:8 s, avg loss: 12.43, avg acc:0.0000%, last loss: 12.33
Train completion:0.26%, time:0 m:17 s, avg loss: 12.43, avg acc:0.0000%, last loss: 12.41
Train completion:0.40%, time:0 m:26 s, avg loss: 12.43, avg acc:0.0000%, last loss: 12.47
Train completion:0.53%, time:0 m:36 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.47
Train completion:0.66%, time:0 m:45 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.27
Train completion:0.79%, time:0 m:53 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.40
Train completion:0.92%, time:1 m:3 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.42
Train completion:1.06%, time:1 m:12 s, avg loss: 12.39, avg acc:1.2500%, last loss: 12.30
Train completion:1.19%, time:1 m:22 s, avg loss: 12.38, avg acc:1.1111%, last loss: 12.49
Train completion:1.32%, time:1 m:31 s, avg loss: 12.37, avg acc:1.0000%, last loss: 12.14
Train completion:1.45%, time:1 m:40 s, avg loss: 12.36, avg acc:0.9091%, last loss: 12.46
Train completion:1.58%, time:1 m:49 s, avg loss: 12.36, avg acc:0.8333%, last loss: 12.30
Train completion:1.72%, time:1 m:59 s, avg loss: 12.35, avg acc:0.7692%, last loss: 12.26
Train completion:1.85%, time:2 m:8 s, avg loss: 12.35, avg acc:0.7143%, last loss: 12.39
Train completion:1.98%, time:2 m:17 s, avg loss: 12.34, avg acc:0.6667%, last loss: 11.87
Train completion:2.11%, time:2 m:26 s, avg loss: 12.34, avg acc:0.6250%, last loss: 12.31
Train completion:2.24%, time:2 m:35 s, avg loss: 12.33, avg acc:0.5882%, last loss: 12.20
Train completion:2.38%, time:2 m:44 s, avg loss: 12.32, avg acc:0.5556%, last loss: 12.11
Train completion:2.51%, time:2 m:53 s, avg loss: 12.31, avg acc:0.5263%, last loss: 11.96
Train completion:2.64%, time:3 m:2 s, avg loss: 12.31, avg acc:0.5000%, last loss: 12.35
Train completion:2.77%, time:3 m:11 s, avg loss: 12.30, avg acc:0.4762%, last loss: 12.09
