Probably very similar to ViTm_ImplicitAttn_ParallelLayer_scale_init_Block-2parallel:

----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:0.13%, time:0 m:36 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.40
Train completion:0.26%, time:2 m:4 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.40
Train completion:0.40%, time:4 m:34 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.34
Train completion:0.53%, time:7 m:18 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.32
Train completion:0.66%, time:10 m:7 s, avg loss: 12.39, avg acc:0.0000%, last loss: 12.35
Train completion:0.79%, time:13 m:33 s, avg loss: 12.39, avg acc:0.0000%, last loss: 12.37
Train completion:0.92%, time:16 m:35 s, avg loss: 12.39, avg acc:0.0000%, last loss: 12.32
Train completion:1.06%, time:19 m:56 s, avg loss: 12.38, avg acc:0.0000%, last loss: 12.44
Train completion:1.19%, time:23 m:12 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.28
Train completion:1.32%, time:26 m:13 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.18
Train completion:1.45%, time:29 m:17 s, avg loss: 12.36, avg acc:0.0000%, last loss: 12.32
Train completion:1.58%, time:32 m:0 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.26
Train completion:1.72%, time:34 m:57 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.44
Train completion:1.85%, time:38 m:11 s, avg loss: 12.34, avg acc:0.0000%, last loss: 12.28
Train completion:1.98%, time:41 m:35 s, avg loss: 12.33, avg acc:0.0000%, last loss: 12.36
Train completion:2.11%, time:44 m:36 s, avg loss: 12.32, avg acc:0.0000%, last loss: 11.78
Train completion:2.24%, time:47 m:37 s, avg loss: 12.32, avg acc:0.0000%, last loss: 12.19
Train completion:2.38%, time:50 m:23 s, avg loss: 12.31, avg acc:0.0000%, last loss: 12.33
Train completion:2.51%, time:53 m:17 s, avg loss: 12.30, avg acc:0.0000%, last loss: 12.23
Train completion:2.64%, time:56 m:18 s, avg loss: 12.30, avg acc:0.0000%, last loss: 12.24
Train completion:2.77%, time:59 m:20 s, avg loss: 12.29, avg acc:0.0000%, last loss: 12.42
Train completion:2.90%, time:62 m:6 s, avg loss: 12.29, avg acc:0.0000%, last loss: 12.20
Train completion:3.04%, time:64 m:38 s, avg loss: 12.29, avg acc:0.0000%, last loss: 12.18
Train completion:3.17%, time:67 m:24 s, avg loss: 12.28, avg acc:0.0000%, last loss: 11.75
Train completion:3.30%, time:70 m:0 s, avg loss: 12.27, avg acc:0.0000%, last loss: 12.41
Train completion:3.43%, time:72 m:38 s, avg loss: 12.27, avg acc:0.0000%, last loss: 12.35
Train completion:3.56%, time:75 m:33 s, avg loss: 12.26, avg acc:0.0000%, last loss: 11.70
Train completion:3.70%, time:78 m:35 s, avg loss: 12.25, avg acc:0.0000%, last loss: 12.14
Train completion:3.83%, time:81 m:17 s, avg loss: 12.24, avg acc:0.0000%, last loss: 12.14
