
----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:0.13%, time:0 m:13 s, avg loss: 12.45, avg acc:0.0000%, last loss: 12.38
Train completion:0.26%, time:0 m:28 s, avg loss: 12.43, avg acc:0.0000%, last loss: 12.40
Train completion:0.40%, time:0 m:44 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.51
Train completion:0.53%, time:1 m:0 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.44
Train completion:0.66%, time:1 m:17 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.02
Train completion:0.79%, time:1 m:40 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.42
Train completion:0.92%, time:2 m:4 s, avg loss: 12.39, avg acc:0.0000%, last loss: 12.30
Train completion:1.06%, time:2 m:29 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.36
Train completion:1.19%, time:3 m:2 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.41
Train completion:1.32%, time:3 m:36 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.39
Train completion:1.45%, time:4 m:18 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.32
Train completion:1.58%, time:5 m:18 s, avg loss: 12.36, avg acc:0.0000%, last loss: 12.49
Train completion:1.72%, time:6 m:22 s, avg loss: 12.36, avg acc:0.0000%, last loss: 12.59
Train completion:1.85%, time:7 m:16 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.31
Train completion:1.98%, time:8 m:10 s, avg loss: 12.35, avg acc:0.0000%, last loss: 12.24
Train completion:2.11%, time:9 m:14 s, avg loss: 12.34, avg acc:0.0000%, last loss: 12.35
Train completion:2.24%, time:10 m:6 s, avg loss: 12.33, avg acc:0.0000%, last loss: 12.41
Train completion:2.38%, time:10 m:54 s, avg loss: 12.32, avg acc:0.2431%, last loss: 12.12
Train completion:2.51%, time:11 m:44 s, avg loss: 12.31, avg acc:0.2303%, last loss: 12.15
Train completion:2.64%, time:12 m:38 s, avg loss: 12.30, avg acc:0.2188%, last loss: 12.11
Train completion:2.77%, time:13 m:28 s, avg loss: 12.30, avg acc:0.2083%, last loss: 12.39
Train completion:2.90%, time:14 m:17 s, avg loss: 12.29, avg acc:0.1989%, last loss: 11.93
Train completion:3.04%, time:15 m:5 s, avg loss: 12.29, avg acc:0.1902%, last loss: 11.95
Train completion:3.17%, time:15 m:52 s, avg loss: 12.28, avg acc:0.1823%, last loss: 12.25
Train completion:3.30%, time:16 m:36 s, avg loss: 12.27, avg acc:0.1750%, last loss: 12.15
Train completion:3.43%, time:17 m:22 s, avg loss: 12.27, avg acc:0.1683%, last loss: 12.01
Train completion:3.56%, time:18 m:7 s, avg loss: 12.26, avg acc:0.1620%, last loss: 11.81
