Better than ViTm_ImplicitAttn5(sine)_Layer_scale_init_Block but slower. 

----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:0.13%, time:0 m:13 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.42
Train completion:0.26%, time:0 m:34 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.32
Train completion:0.40%, time:0 m:58 s, avg loss: 12.42, avg acc:0.0000%, last loss: 12.45
Train completion:0.53%, time:1 m:26 s, avg loss: 12.41, avg acc:0.0000%, last loss: 12.35
Train completion:0.66%, time:1 m:57 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.38
Train completion:0.79%, time:2 m:49 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.33
Train completion:0.92%, time:3 m:42 s, avg loss: 12.40, avg acc:0.0000%, last loss: 12.39
Train completion:1.06%, time:4 m:33 s, avg loss: 12.38, avg acc:0.0000%, last loss: 12.27
Train completion:1.19%, time:5 m:25 s, avg loss: 12.38, avg acc:0.0000%, last loss: 12.22
Train completion:1.32%, time:6 m:13 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.15
Train completion:1.45%, time:7 m:2 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.54
Train completion:1.58%, time:7 m:53 s, avg loss: 12.37, avg acc:0.0000%, last loss: 12.31
Train completion:1.72%, time:8 m:47 s, avg loss: 12.36, avg acc:0.1442%, last loss: 12.15
Train completion:1.85%, time:9 m:42 s, avg loss: 12.36, avg acc:0.1339%, last loss: 12.24
Train completion:1.98%, time:10 m:30 s, avg loss: 12.34, avg acc:0.1250%, last loss: 11.97
Train completion:2.11%, time:11 m:17 s, avg loss: 12.33, avg acc:0.1172%, last loss: 11.92
Train completion:2.24%, time:12 m:0 s, avg loss: 12.33, avg acc:0.1103%, last loss: 12.56
Train completion:2.38%, time:12 m:43 s, avg loss: 12.32, avg acc:0.1042%, last loss: 12.00
Train completion:2.51%, time:13 m:26 s, avg loss: 12.32, avg acc:0.0987%, last loss: 11.97
Train completion:2.64%, time:14 m:9 s, avg loss: 12.31, avg acc:0.0938%, last loss: 12.30
Train completion:2.77%, time:15 m:7 s, avg loss: 12.30, avg acc:0.0893%, last loss: 12.17
Train completion:2.90%, time:16 m:2 s, avg loss: 12.30, avg acc:0.0852%, last loss: 12.55
Train completion:3.04%, time:17 m:2 s, avg loss: 12.29, avg acc:0.0815%, last loss: 11.91
Train completion:3.17%, time:18 m:0 s, avg loss: 12.28, avg acc:0.0781%, last loss: 12.38
Train completion:3.30%, time:18 m:57 s, avg loss: 12.28, avg acc:0.0750%, last loss: 12.35
Train completion:3.43%, time:19 m:53 s, avg loss: 12.27, avg acc:0.0721%, last loss: 11.91
Train completion:3.56%, time:20 m:47 s, avg loss: 12.26, avg acc:0.0694%, last loss: 12.28
Train completion:3.70%, time:21 m:38 s, avg loss: 12.26, avg acc:0.0670%, last loss: 12.32
Train completion:3.83%, time:22 m:32 s, avg loss: 12.25, avg acc:0.0647%, last loss: 11.85
Train completion:3.96%, time:23 m:27 s, avg loss: 12.24, avg acc:0.0625%, last loss: 12.03
Train completion:4.09%, time:24 m:22 s, avg loss: 12.23, avg acc:0.0605%, last loss: 12.03
Train completion:4.22%, time:25 m:16 s, avg loss: 12.23, avg acc:0.0586%, last loss: 12.16
Train completion:4.36%, time:26 m:9 s, avg loss: 12.22, avg acc:0.0568%, last loss: 11.84
Train completion:4.49%, time:27 m:3 s, avg loss: 12.22, avg acc:0.0551%, last loss: 12.31
Train completion:4.62%, time:27 m:58 s, avg loss: 12.21, avg acc:0.0536%, last loss: 11.52
Train completion:4.75%, time:28 m:53 s, avg loss: 12.20, avg acc:0.0521%, last loss: 11.90
Train completion:4.88%, time:29 m:47 s, avg loss: 12.20, avg acc:0.0507%, last loss: 11.80
Train completion:5.02%, time:30 m:41 s, avg loss: 12.19, avg acc:0.0493%, last loss: 11.73
Train completion:5.15%, time:31 m:34 s, avg loss: 12.18, avg acc:0.0481%, last loss: 11.76
Train completion:5.28%, time:32 m:28 s, avg loss: 12.18, avg acc:0.0469%, last loss: 12.23
Train completion:5.41%, time:33 m:20 s, avg loss: 12.17, avg acc:0.0457%, last loss: 11.61
Train completion:5.54%, time:34 m:12 s, avg loss: 12.17, avg acc:0.0446%, last loss: 11.68
Train completion:5.68%, time:35 m:3 s, avg loss: 12.16, avg acc:0.0436%, last loss: 11.55
Train completion:5.81%, time:35 m:56 s, avg loss: 12.16, avg acc:0.0426%, last loss: 11.87
Train completion:5.94%, time:36 m:48 s, avg loss: 12.15, avg acc:0.0417%, last loss: 11.74
Train completion:6.07%, time:37 m:40 s, avg loss: 12.14, avg acc:0.0408%, last loss: 11.80
Train completion:6.20%, time:38 m:34 s, avg loss: 12.14, avg acc:0.0399%, last loss: 12.10
Train completion:6.34%, time:39 m:26 s, avg loss: 12.13, avg acc:0.0391%, last loss: 11.05
Train completion:6.47%, time:40 m:19 s, avg loss: 12.12, avg acc:0.0383%, last loss: 11.98
Train completion:6.60%, time:41 m:12 s, avg loss: 12.11, avg acc:0.0375%, last loss: 11.53
Train completion:6.73%, time:42 m:6 s, avg loss: 12.10, avg acc:0.0368%, last loss: 11.81
Train completion:6.86%, time:43 m:1 s, avg loss: 12.10, avg acc:0.0361%, last loss: 11.83
Train completion:7.00%, time:43 m:56 s, avg loss: 12.09, avg acc:0.0354%, last loss: 11.60
Train completion:7.13%, time:44 m:50 s, avg loss: 12.08, avg acc:0.0347%, last loss: 11.74
