----------------------------------------------------------------------------------------------------
Training for epoch 1/25 started
----------------------------------------------------------------------------------------------------
Train completion:0.13%, time:0 m:12 s, avg loss: 12.43, avg acc:10.0000%, last loss: 12.46
Train completion:0.26%, time:0 m:29 s, avg loss: 12.44, avg acc:5.0000%, last loss: 12.44
Train completion:0.40%, time:0 m:52 s, avg loss: 12.43, avg acc:3.3333%, last loss: 12.21
Train completion:0.53%, time:1 m:16 s, avg loss: 12.42, avg acc:2.5000%, last loss: 12.34
Train completion:0.66%, time:1 m:51 s, avg loss: 12.41, avg acc:2.0000%, last loss: 12.28
Train completion:0.79%, time:2 m:48 s, avg loss: 12.42, avg acc:1.6667%, last loss: 12.46
Train completion:0.92%, time:3 m:47 s, avg loss: 12.41, avg acc:1.4286%, last loss: 12.26
Train completion:1.06%, time:4 m:56 s, avg loss: 12.40, avg acc:1.2500%, last loss: 12.33
Train completion:1.19%, time:6 m:4 s, avg loss: 12.40, avg acc:1.1111%, last loss: 12.20
Train completion:1.32%, time:7 m:3 s, avg loss: 12.39, avg acc:1.0000%, last loss: 12.53
Train completion:1.45%, time:8 m:0 s, avg loss: 12.38, avg acc:0.9091%, last loss: 12.05
Train completion:1.58%, time:8 m:53 s, avg loss: 12.38, avg acc:0.8333%, last loss: 12.70
Train completion:1.72%, time:9 m:44 s, avg loss: 12.37, avg acc:0.7692%, last loss: 12.36
Train completion:1.85%, time:10 m:34 s, avg loss: 12.36, avg acc:0.7143%, last loss: 12.18
Train completion:1.98%, time:11 m:24 s, avg loss: 12.35, avg acc:0.6667%, last loss: 12.21
Train completion:2.11%, time:12 m:17 s, avg loss: 12.34, avg acc:0.6250%, last loss: 12.41
Train completion:2.24%, time:13 m:6 s, avg loss: 12.33, avg acc:0.5882%, last loss: 12.43
Train completion:2.38%, time:13 m:57 s, avg loss: 12.33, avg acc:0.5556%, last loss: 12.28
Train completion:2.51%, time:14 m:51 s, avg loss: 12.32, avg acc:0.5263%, last loss: 12.12
Train completion:2.64%, time:15 m:46 s, avg loss: 12.32, avg acc:0.5000%, last loss: 11.94
Train completion:2.77%, time:16 m:39 s, avg loss: 12.31, avg acc:0.4762%, last loss: 11.94
Train completion:2.90%, time:17 m:36 s, avg loss: 12.30, avg acc:0.4545%, last loss: 11.94
Train completion:3.04%, time:18 m:37 s, avg loss: 12.29, avg acc:0.4348%, last loss: 12.12
Train completion:3.17%, time:19 m:37 s, avg loss: 12.28, avg acc:0.4167%, last loss: 12.16
Train completion:3.30%, time:20 m:47 s, avg loss: 12.28, avg acc:0.4000%, last loss: 11.90
Train completion:3.43%, time:21 m:54 s, avg loss: 12.27, avg acc:0.3846%, last loss: 11.94
Train completion:3.56%, time:23 m:2 s, avg loss: 12.26, avg acc:0.3704%, last loss: 12.15
Train completion:3.70%, time:24 m:10 s, avg loss: 12.25, avg acc:0.3571%, last loss: 12.09
Train completion:3.83%, time:25 m:18 s, avg loss: 12.24, avg acc:0.3448%, last loss: 12.00
Train completion:3.96%, time:26 m:29 s, avg loss: 12.23, avg acc:0.3333%, last loss: 11.64
Train completion:4.09%, time:27 m:36 s, avg loss: 12.22, avg acc:0.3226%, last loss: 11.77
Train completion:4.22%, time:28 m:41 s, avg loss: 12.22, avg acc:0.3125%, last loss: 12.02
Train completion:4.36%, time:29 m:50 s, avg loss: 12.21, avg acc:0.3030%, last loss: 11.99
Train completion:4.49%, time:30 m:55 s, avg loss: 12.20, avg acc:0.2941%, last loss: 11.86
Train completion:4.62%, time:32 m:5 s, avg loss: 12.20, avg acc:0.2857%, last loss: 11.86
Train completion:4.75%, time:33 m:13 s, avg loss: 12.19, avg acc:0.2778%, last loss: 11.58
Train completion:4.88%, time:34 m:18 s, avg loss: 12.18, avg acc:0.2703%, last loss: 11.89
Train completion:5.02%, time:35 m:22 s, avg loss: 12.17, avg acc:0.2632%, last loss: 11.98
Train completion:5.15%, time:36 m:29 s, avg loss: 12.17, avg acc:0.2564%, last loss: 12.11
Train completion:5.28%, time:37 m:37 s, avg loss: 12.16, avg acc:0.2500%, last loss: 11.89
Train completion:5.41%, time:38 m:44 s, avg loss: 12.15, avg acc:0.2439%, last loss: 12.29
Train completion:5.54%, time:39 m:52 s, avg loss: 12.15, avg acc:0.2381%, last loss: 11.68
Train completion:5.68%, time:41 m:1 s, avg loss: 12.15, avg acc:0.2326%, last loss: 12.18
Train completion:5.81%, time:42 m:10 s, avg loss: 12.14, avg acc:0.2273%, last loss: 12.25
Train completion:5.94%, time:43 m:18 s, avg loss: 12.14, avg acc:0.2222%, last loss: 12.10
Train completion:6.07%, time:44 m:25 s, avg loss: 12.13, avg acc:0.2174%, last loss: 11.71
Train completion:6.20%, time:45 m:35 s, avg loss: 12.13, avg acc:0.2128%, last loss: 11.74
Train completion:6.34%, time:46 m:41 s, avg loss: 12.12, avg acc:0.2083%, last loss: 12.07
Train completion:6.47%, time:47 m:49 s, avg loss: 12.11, avg acc:0.2041%, last loss: 12.00
Train completion:6.60%, time:48 m:56 s, avg loss: 12.11, avg acc:0.2000%, last loss: 12.14
